id;name;number;URL;socket;price;vertical_segment;processor_number;status;launch_date;64;instruction_set;instruction_set_extensions
48140;Core i3-330E Processor;i3-330E;https://ark.intel.com/content/www/us/en/ark/products/48140/intel-core-i3330e-processor-3m-cache-2-13-ghz.html;BGA1288;;Mobile;i3-330E;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
47663;Core i3-330M Processor;i3-330M;https://ark.intel.com/content/www/us/en/ark/products/47663/intel-core-i3330m-processor-3m-cache-2-13-ghz.html;BGA1288;;Mobile;i3-330M;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
49021;Core i3-330UM Processor;i3-330UM;https://ark.intel.com/content/www/us/en/ark/products/49021/intel-core-i3330um-processor-3m-cache-1-20-ghz.html;BGA1288;;Mobile;i3-330UM;Discontinued;2010-04-01;True;64-bit;SSE4.1, SSE4.2
43529;Core i3-350M Processor;i3-350M;https://ark.intel.com/content/www/us/en/ark/products/43529/intel-core-i3350m-processor-3m-cache-2-26-ghz.html;BGA1288;;Mobile;i3-350M;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
50028;Core i3-380UM Processor;i3-380UM;https://ark.intel.com/content/www/us/en/ark/products/50028/intel-core-i3380um-processor-3m-cache-1-33-ghz.html;BGA1288;;Mobile;i3-380UM;Discontinued;2010-10-01;True;64-bit;SSE4.1, SSE4.2
52955;Core i3-390M Processor;i3-390M;https://ark.intel.com/content/www/us/en/ark/products/52955/intel-core-i3390m-processor-3m-cache-2-66-ghz.html;BGA1288;;Mobile;i3-390M;Discontinued;2011-01-01;True;64-bit;SSE4.1, SSE4.2
43537;Core i5-430M Processor;i5-430M;https://ark.intel.com/content/www/us/en/ark/products/43537/intel-core-i5430m-processor-3m-cache-2-26-ghz.html;BGA1288;;Mobile;i5-430M;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
49023;Core i5-430UM Processor;i5-430UM;https://ark.intel.com/content/www/us/en/ark/products/49023/intel-core-i5430um-processor-3m-cache-1-20-ghz.html;BGA1288;;Mobile;i5-430UM;Discontinued;2010-04-01;True;64-bit;SSE4.1, SSE4.2
50179;Core i5-460M Processor;i5-460M;https://ark.intel.com/content/www/us/en/ark/products/50179/intel-core-i5460m-processor-3m-cache-2-53-ghz.html;BGA1288;;Mobile;i5-460M;Discontinued;2010-07-01;True;64-bit;SSE4.1, SSE4.2
50026;Core i5-470UM Processor;i5-470UM;https://ark.intel.com/content/www/us/en/ark/products/50026/intel-core-i5470um-processor-3m-cache-1-33-ghz.html;BGA1288;;Mobile;i5-470UM;Discontinued;2010-10-01;True;64-bit;SSE4.1, SSE4.2
52952;Core i5-480M Processor;i5-480M;https://ark.intel.com/content/www/us/en/ark/products/52952/intel-core-i5480m-processor-3m-cache-2-66-ghz.html;BGA1288;;Mobile;i5-480M;Discontinued;2011-01-01;True;64-bit;SSE4.1, SSE4.2
47936;Core i5-520E Processor;i5-520E;https://ark.intel.com/content/www/us/en/ark/products/47936/intel-core-i5520e-processor-3m-cache-2-40-ghz.html;BGA1288;;Embedded;i5-520E;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
47341;Core i5-520M Processor;i5-520M;https://ark.intel.com/content/www/us/en/ark/products/47341/intel-core-i5520m-processor-3m-cache-2-40-ghz.html;BGA1288;;Mobile;i5-520M;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
47554;Core i5-520UM Processor;i5-520UM;https://ark.intel.com/content/www/us/en/ark/products/47554/intel-core-i5520um-processor-3m-cache-1-06-ghz.html;BGA1288;;Mobile;i5-520UM;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
43544;Core i5-540M Processor;i5-540M;https://ark.intel.com/content/www/us/en/ark/products/43544/intel-core-i5540m-processor-3m-cache-2-53-ghz.html;BGA1288;;Mobile;i5-540M;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
49159;Core i5-540UM Processor;i5-540UM;https://ark.intel.com/content/www/us/en/ark/products/49159/intel-core-i5540um-processor-3m-cache-1-20-ghz.html;BGA1288;;Mobile;i5-540UM;Discontinued;2010-04-01;True;64-bit;SSE4.1, SSE4.2
49653;Core i5-560M Processor;i5-560M;https://ark.intel.com/content/www/us/en/ark/products/49653/intel-core-i5560m-processor-3m-cache-2-66-ghz.html;BGA1288;;Mobile;i5-560M;Discontinued;2010-07-01;True;64-bit;SSE4.1, SSE4.2
49665;Core i5-560UM Processor;i5-560UM;https://ark.intel.com/content/www/us/en/ark/products/49665/intel-core-i5560um-processor-3m-cache-1-33-ghz.html;BGA1288;;Mobile;i5-560UM;Discontinued;2010-07-01;True;64-bit;SSE4.1, SSE4.2
49652;Core i5-580M Processor;i5-580M;https://ark.intel.com/content/www/us/en/ark/products/49652/intel-core-i5580m-processor-3m-cache-2-66-ghz.html;BGA1288;;Mobile;i5-580M;Discontinued;2010-07-01;True;64-bit;SSE4.1, SSE4.2
48139;Core i7-610E Processor;i7-610E;https://ark.intel.com/content/www/us/en/ark/products/48139/intel-core-i7610e-processor-4m-cache-2-53-ghz.html;BGA1288;;Mobile;i7-610E;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
47934;Core i7-620LE Processor;i7-620LE;https://ark.intel.com/content/www/us/en/ark/products/47934/intel-core-i7620le-processor-4m-cache-2-00-ghz.html;BGA1288;;Embedded;i7-620LE;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
43559;Core i7-620LM Processor;i7-620LM;https://ark.intel.com/content/www/us/en/ark/products/43559/intel-core-i7620lm-processor-4m-cache-2-00-ghz.html;BGA1288;;Mobile;i7-620LM;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
43560;Core i7-620M Processor;i7-620M;https://ark.intel.com/content/www/us/en/ark/products/43560/intel-core-i7620m-processor-4m-cache-2-66-ghz.html;BGA1288;;Mobile;i7-620M;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
47935;Core i7-620UE Processor;i7-620UE;https://ark.intel.com/content/www/us/en/ark/products/47935/intel-core-i7620ue-processor-4m-cache-1-06-ghz.html;BGA1288;;Embedded;i7-620UE;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
43562;Core i7-620UM Processor;i7-620UM;https://ark.intel.com/content/www/us/en/ark/products/43562/intel-core-i7620um-processor-4m-cache-1-06-ghz.html;BGA1288;;Mobile;i7-620UM;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
43563;Core i7-640LM Processor;i7-640LM;https://ark.intel.com/content/www/us/en/ark/products/43563/intel-core-i7640lm-processor-4m-cache-2-13-ghz.html;BGA1288;;Mobile;i7-640LM;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
49666;Core i7-640M Processor;i7-640M;https://ark.intel.com/content/www/us/en/ark/products/49666/intel-core-i7640m-processor-4m-cache-2-80-ghz.html;BGA1288;;Mobile;i7-640M;Discontinued;2010-07-01;True;64-bit;SSE4.1, SSE4.2
47700;Core i7-640UM Processor;i7-640UM;https://ark.intel.com/content/www/us/en/ark/products/47700/intel-core-i7640um-processor-4m-cache-1-20-ghz.html;BGA1288;;Mobile;i7-640UM;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
50022;Core i7-660UE Processor;i7-660UE;https://ark.intel.com/content/www/us/en/ark/products/50022/intel-core-i7660ue-processor-4m-cache-1-33-ghz.html;BGA1288;;Mobile;i7-660UE;Discontinued;2010-01-01;True;64-bit;SSE4.1, SSE4.2
49158;Core i7-660UM Processor;i7-660UM;https://ark.intel.com/content/www/us/en/ark/products/49158/intel-core-i7660um-processor-4m-cache-1-33-ghz.html;BGA1288;;Mobile;i7-660UM;Discontinued;2010-04-01;True;64-bit;SSE4.1, SSE4.2
49664;Core i7-680UM Processor;i7-680UM;https://ark.intel.com/content/www/us/en/ark/products/49664/intel-core-i7680um-processor-4m-cache-1-46-ghz.html;BGA1288;;Mobile;i7-680UM;Discontinued;2010-07-01;True;64-bit;SSE4.1, SSE4.2
48141;Celeron Processor P4505;P4505;https://ark.intel.com/content/www/us/en/ark/products/48141/intel-celeron-processor-p4505-2m-cache-1-86-ghz.html;BGA1288;;Mobile;P4505;Discontinued;2010-01-01;True;64-bit;
49157;Celeron Processor U3400;U3400;https://ark.intel.com/content/www/us/en/ark/products/49157/intel-celeron-processor-u3400-2m-cache-1-06-ghz.html;BGA1288;;Mobile;U3400;Discontinued;2010-04-01;True;64-bit;
