GPU,CNT
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1050 Ti/PCIe/SSE2""",448025
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1050/PCIe/SSE2""",380681
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650/PCIe/SSE2""",338215
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1070/PCIe/SSE2""",292886
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060 6GB/PCIe/SSE2""",292224
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2060/PCIe/SSE2""",267185
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660 Ti/PCIe/SSE2""",226660
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1080/PCIe/SSE2""",175944
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060 3GB/PCIe/SSE2""",164151
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 970/PCIe/SSE2""",139438
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060/PCIe/SSE2""",138833
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070/PCIe/SSE2""",129636
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070 SUPER/PCIe/SSE2""",127521
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 620""",116695
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 960/PCIe/SSE2""",111544
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 750 Ti/PCIe/SSE2""",109774
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 580 Series""",108721
"""INTEL  Class 2 Intel Intel(R) HD Graphics""",106008
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660 SUPER/PCIe/SSE2""",100785
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1080 Ti/PCIe/SSE2""",88466
"""INTEL  Class 3 Intel Intel(R) HD Graphics 4400""",84483
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660/PCIe/SSE2""",83942
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2060 SUPER/PCIe/SSE2""",82121
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 960M/PCIe/SSE2""",80739
"""INTEL  Class 3 Intel Intel(R) HD Graphics 620""",79538
"""INTEL  Class 3 Intel Intel(R) UHD Graphics""",75465
"""INTEL  Class 3 Intel Intel(R) HD Graphics 4600""",68630
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 SUPER/PCIe/SSE2""",68412
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 Ti/PCIe/SSE2""",67513
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 710/PCIe/SSE2""",66667
"""NVIDIA Class 5 NVIDIA Corporation GeForce GT 1030/PCIe/SSE2""",64733
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 570 Series""",61485
"""NVIDIA Class 4 NVIDIA Corporation GeForce 940MX/PCIe/SSE2""",60522
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080/PCIe/SSE2""",57833
"""INTEL  Class 3 Intel Intel(R) HD Graphics 520""",55418
"""INTEL  Class 3 Intel Intel(R) HD Graphics 5500""",54592
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 630""",54583
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Graphics""",51746
"""INTEL  Class 3 Intel Intel(R) HD Graphics 4000""",50175
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 730/PCIe/SSE2""",50053
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1070 Ti/PCIe/SSE2""",46744
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070 with Max-Q Design/PCIe/SSE2""",44509
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650 SUPER/PCIe/SSE2""",43014
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650 Ti/PCIe/SSE2""",39307
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 950M/PCIe/SSE2""",39184
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980/PCIe/SSE2""",37275
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",36825
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5700 XT""",36540
"""INTEL  Class 2 Intel Intel(R) HD Graphics 2500""",36063
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 950/PCIe/SSE2""",33872
"""INTEL  Class 2 Intel Intel(R) HD Graphics 4000""",32972
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 745/PCIe/SSE2""",32940
"""INTEL  Class 3 Intel Inc. Intel(R) HD Graphics 6000""",32797
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060 with Max-Q Design/PCIe/SSE2""",32790
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 650/PCIe/SSE2""",32383
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 750/PCIe/SSE2""",32224
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3070/PCIe/SSE2""",31324
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX150/PCIe/SSE2""",31212
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 660/PCIe/SSE2""",30488
"""NVIDIA Class 4 NVIDIA Corporation GeForce 840M/PCIe/SSE2""",29651
"""INTEL  Class 3 Intel Intel(R) HD Graphics 630""",29428
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660 Ti with Max-Q Design/PCIe/SSE2""",29370
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 760/PCIe/SSE2""",29305
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 730/PCIe/SSE2""",29275
"""INTEL  Class 4 Intel Intel(R) UHD Graphics 620""",29056
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 3 Graphics""",28889
"""INTEL  Class 3 Intel Intel(R) HD Graphics 530""",28589
"""NVIDIA Class 5 NVIDIA Corporation Quadro P5000/PCIe/SSE2""",28468
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 970M/PCIe/SSE2""",28005
"""INTEL  Class 3 Intel Intel(R) HD Graphics 3000""",27239
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980 Ti/PCIe/SSE2""",27060
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 600""",26315
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3080/PCIe/SSE2""",25791
"""NVIDIA Class 4 NVIDIA Corporation GeForce 920M/PCIe/SSE2""",25293
"""NVIDIA Class 4 NVIDIA Corporation GeForce 940M/PCIe/SSE2""",24869
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Graphics""",23532
"""INTEL  Class 3 Intel Inc. Intel Iris Pro OpenGL Engine""",23083
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 640""",22073
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 640/PCIe/SSE2""",21410
"""INTEL  Class 4 Intel Intel(R) HD Graphics 620""",21045
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R4 Graphics""",21034
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX250/PCIe/SSE2""",20837
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 200 Series""",20488
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX110/PCIe/SSE2""",20128
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 630/PCIe/SSE2""",20117
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Graphics 6100""",20057
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 740M/PCIe/SSE2""",19893
"""INTEL  Class 2 Intel Intel(R) HD Graphics 400""",19724
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 200 Series""",19692
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 610/PCIe/SSE2""",19690
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX130/PCIe/SSE2""",19008
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 480 Graphics""",18860
