GPU_VRAM,CNT
4096,1615455
8192,1233213
6144,1229455
2048,1215067
1024,1119440
,357804
3072,306622
512,152376
11264,128933
12288,106922
10240,65257
2112,62037
8176,61254
1536,59416
5461,38718
10922,35612
4095,32218
24576,29742
16384,27987
0,26194
5376,22494
2108,16979
256,16868
768,14853
3829,12983
3810,12026
16368,12010
6128,11806
80,9534
12272,9458
4006,9149
4007,8964
3970,8317
1969,8103
384,7594
3989,7223
21845,6238
2080,6152
8103,5990
8102,5888
2176,5212
4012,5028
15360,4880
497,4701
2056,4340
2052,3997
1965,3982
8084,3878
8093,3798
1762,3788
7925,3638
8085,3519
2055,3472
1809,3452
2053,3356
3988,3008
2076,2813
16278,2750
1797,2568
4080,2476
5120,2369
2304,2255
2172,2230
1958,2094
1964,2059
2054,2039
1959,1910
8044,1896
49152,1851
8046,1834
3840,1733
3948,1693
2058,1679
1792,1670
3950,1654
1922,1545
2047,1523
43690,1493
2057,1470
3831,1358
2051,1351
1800,1335
1796,1294
1003,1281
1280,1245
3991,1226
1812,1175
6065,1173
1908,1143
2059,1068
1009,1063
3954,1060
1837,1036
3926,1025
2032,1018
1912,985
16285,969
8035,963
491,936
4004,893
2560,892
1803,890
2050,889
245,861
2049,851
3766,846
8087,845
7927,843
3971,834
16221,833
1923,825
896,820
237,812
2993,770
7898,765
1806,760
3931,754
128,743
2160,743
1804,737
3997,737
238,707
1799,688
1945,671
8027,671
2061,657
2027,656
1722,649
1778,615
2030,611
498,601
1790,600
3880,585
1801,578
8100,571
2043,567
1956,563
3845,560
1802,534
8086,527
1008,521
1795,492
2046,487
1755,487
239,482
8058,476
7972,475
1808,472
3942,472
1905,467
1906,438
1845,437
32,429
1723,425
16276,419
7973,408
1826,407
3876,404
3877,404
2060,399
1960,396
1033,394
1813,394
2300,380
1798,372
1791,371
1811,370
3056,370
1285,359
500,353
233,349
1810,342
235,341
3770,340
2063,337
2083,333
3990,328
1793,328
2085,325
2086,324
234,314
1789,313
2236,312
2778,308
8092,305
1828,304
2819,299
8101,296
2821,291
1949,289
3852,286
2028,285
232,283
1721,282
1300,279
7958,277
2044,274
1787,270
241,268
1023,265
4008,262
7950,248
2035,245
1962,240
2556,239
3787,238
3792,237
1006,233
2747,231
4152,230
1010,228
8029,228
2004,225
1779,225
1832,223
502,221
492,213
231,210
1702,210
770,207
4005,204
1794,203
2041,202
3958,197
1961,197
3803,196
1807,195
869,195
7964,193
2031,193
3952,192
1872,190
4166,189
2062,187
3848,180
1777,177
1889,176
2969,175
119,173
2114,172
2021,172
2038,171
1899,170
994,169
743,166
461,166
482,166
236,163
493,162
1928,161
1840,160
480,160
802,159
1825,158
1428,157
1035,153
3961,151
16227,151
2102,150
1898,150
761,149
1907,148
8042,147
2746,147
7976,147
2065,135
1776,135
1289,133
3953,132
32666,132
2282,132
1829,132
2045,131
1742,131
1954,130
