MEM_GB,CNT
383,1
256,543
252,60
191,80
190,3
189,54
160,29
142,11
128,7827
127,5
126,123
125,1
122,2
120,26
112,174
104,862
96,1548
95,11
94,3
90,1
80,375
72,577
65,1
64,112466
63,5312
62,1389
61,97
60,96
59,4
56,285
48,17338
47,403
46,146
44,76
40,10490
39,439
38,6
36,487
35,6
34,41
33,90
32,918923
31,24380
30,3256
29,429
28,3725
27,67
26,224
25,19
24,108690
23,4892
22,1585
20,20638
19,874
18,4015
17,112
16,3256984
15,78573
14,40534
13,1088
12,396031
11,30775
10,40897
9,3217
8,2649555
7,223459
6,271239
5,19934
4,580628
3,112846
2,26931
1,1161
